Country_name,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
Afghanistan,3.095,3.191,3.04,3.021,3.154,3.258,3.212,3.316,3.362,3.412,3.513,3.52,3.592,3.6
Chad,2.785,2.843,2.908,2.668,2.612,2.361,2.438,2.454,2.414,2.523,2.441,2.499,2.549,2.578
Cuba,2.023,2.017,2.016,1.99,2.032,2.018,1.987,1.993,1.975,1.978,1.961,1.988,2.017,2.02
Estonia,1.689,1.723,1.729,1.701,1.679,1.658,1.553,1.619,1.598,1.588,1.598,1.582,1.577,1.563
Guinea,2.244,2.261,2.326,2.31,2.174,2.184,2.212,2.196,2.166,2.056,2.072,2.026,2.032,2.052
Latvia,1.595,1.688,1.666,1.66,1.656,1.596,1.556,1.609,1.562,1.557,1.562,1.599,1.617,1.634
Lithuania,1.692,1.676,1.683,1.77,1.757,1.709,1.675,1.691,1.701,1.704,1.687,1.65,1.622,1.668
Mali,2.216,2.232,2.313,2.303,2.313,2.424,2.514,2.589,2.52,2.648,2.63,2.685,2.7,2.83
Niger,2.013,2.091,2.117,2.062,2.057,2.009,1.981,2.237,2.194,2.389,2.44,2.374,2.558,2.631
"North Korea",2.887,2.886,2.935,2.982,2.921,2.935,2.946,2.954,2.922,2.946,2.927,2.899,2.977,2.917
