Country Name,Country Code,Status,Mean Adult Female Literacy Rate (%),Median Female Child Marriage Rate (%)
Chad,TCD,Lowest,15.379127694,24.556
Afghanistan,AFG,Lowest,19.80930996,16.3
Mali,MLI,Lowest,20.47042438,42.1
Niger,NER,Lowest,20.5309558852,21.155500000000004
Guinea,GIN,Lowest,22.27108803,28.1
Cuba,CUB,Highest,99.76931508333332,12.362
Lithuania,LTU,Highest,99.77705891666666,0.15
Estonia,EST,Highest,99.84984588333332,4.8805
Latvia,LVA,Highest,99.8585147875,4.8805
"Korea, Dem. People's Rep.",PRK,Highest,99.997612,0.05
